transaction_id,customer_id,amount,transaction_type,merchant_category,is_weekend,hour_of_day,days_since_last_transaction,amount_vs_avg_ratio,is_international,event_time
txn_00000001,cust_000655,12.93,Transfer,Online,0,18,4,0.06,0,1724347617.023816
txn_00000002,cust_000755,18.26,Purchase,Other,0,13,1,0.576,0,1724068968.333888
txn_00000003,cust_000031,108.7,Withdrawal,Travel,0,7,5,0.73,0,1723791453.542418
txn_00000004,cust_000575,38.09,Payment,Online,0,17,1,0.527,0,1727107224.610197
txn_00000005,cust_000285,67.62,Purchase,Restaurant,1,13,1,0.564,0,1746362879.339935
txn_00000006,cust_000349,66.87,Withdrawal,Department Store,0,13,0,0.263,0,1729599631.0891
txn_00000007,cust_000390,54.78,Transfer,Other,1,10,1,0.633,0,1723886728.117963
txn_00000008,cust_000045,50.76,Purchase,Pharmacy,1,11,17,0.491,0,1743849502.083319
txn_00000009,cust_000301,161.94,Transfer,Other,1,20,9,0.47,0,1746992785.950025
txn_00000010,cust_000072,56.59,Withdrawal,ATM,0,20,6,0.253,0,1722281798.221108
txn_00000011,cust_000876,17.4,Purchase,Pharmacy,1,2,4,1.041,0,1728177973.850424
txn_00000012,cust_000651,23.33,Withdrawal,Department Store,0,13,1,0.47,0,1747141186.872686
txn_00000013,cust_000687,331.22,Purchase,Other,0,13,7,8.119,0,1729256093.054284
txn_00000014,cust_000547,37.68,Withdrawal,Entertainment,1,6,1,0.295,0,1743830423.158305
txn_00000015,cust_000948,31.01,Withdrawal,Department Store,0,17,3,0.104,0,1741023312.884902
txn_00000016,cust_000795,109.06,Purchase,Department Store,0,13,0,3.614,0,1722600739.572057
txn_00000017,cust_000068,32.64,Transfer,Online,1,3,1,1.615,0,1727490235.413481
txn_00000018,cust_000406,9.77,Payment,Restaurant,1,1,0,0.103,0,1748736048.399114
txn_00000019,cust_000253,77.95,Transfer,Other,0,1,3,0.498,0,1744330652.997384
txn_00000020,cust_000598,17.73,Withdrawal,Restaurant,0,21,0,0.864,0,1733435774.788251
txn_00000021,cust_000094,14.37,Purchase,Restaurant,0,23,2,0.18,0,1744671026.578127
txn_00000022,cust_000812,69.33,Purchase,Pharmacy,0,12,0,0.31,0,1742299936.006963
txn_00000023,cust_000480,28.59,Purchase,Gas Station,0,6,6,0.091,0,1737526430.445189
txn_00000024,cust_000550,17.13,Transfer,Gas Station,1,4,3,0.701,0,1744516362.746064
txn_00000025,cust_000162,73.77,Transfer,Travel,0,17,7,0.424,0,1735148911.260941
txn_00000026,cust_000520,38.3,Transfer,Travel,0,5,4,0.524,0,1749617311.999721
txn_00000027,cust_000157,78.13,Withdrawal,Travel,0,14,0,0.323,0,1732632027.713457
txn_00000028,cust_000945,25.13,Purchase,Other,0,17,4,1.801,0,1737565513.86449
txn_00000029,cust_000020,71.09,Transfer,ATM,0,23,2,0.399,0,1724364541.043863
txn_00000030,cust_000247,102.1,Purchase,Gas Station,0,14,3,1.397,0,1748525591.178642
txn_00000031,cust_000836,112.99,Withdrawal,Restaurant,0,9,9,0.377,0,1723019366.440562
txn_00000032,cust_000970,15.67,Transfer,Travel,0,19,0,0.123,0,1738178886.5826
txn_00000033,cust_000434,64.02,Withdrawal,ATM,0,3,2,0.587,0,1751248829.061994
txn_00000034,cust_000688,75.45,Payment,Travel,0,8,4,3.359,0,1741334834.883861
txn_00000035,cust_000254,41.53,Transfer,Grocery,0,3,2,0.371,0,1727922735.67877
txn_00000036,cust_000236,15.45,Purchase,Gas Station,0,21,0,0.599,0,1739397327.906188
txn_00000037,cust_000061,13.45,Purchase,Department Store,0,16,0,0.14,0,1728056588.552412
txn_00000038,cust_000244,48.69,Payment,Online,0,18,0,0.127,0,1729618739.454529
txn_00000039,cust_000741,58.65,Payment,Online,0,14,8,0.502,0,1750339057.549095
txn_00000040,cust_000827,34.71,Purchase,Gas Station,1,17,6,0.308,0,1733677323.403563
txn_00000041,cust_000363,25.14,Payment,Grocery,1,17,1,0.086,0,1734198255.913699
txn_00000042,cust_000662,13.96,Payment,Department Store,1,1,0,0.094,0,1723940386.442791
txn_00000043,cust_000112,494.64,Withdrawal,Travel,0,21,7,1.137,0,1728678306.604653
txn_00000044,cust_000433,127.52,Payment,Online,0,2,3,2.406,0,1726623159.154729
txn_00000045,cust_000078,67.43,Purchase,Grocery,1,21,0,1.587,0,1734814851.634149
txn_00000046,cust_000554,93.74,Purchase,Online,0,6,1,0.926,0,1747201646.381224
txn_00000047,cust_000498,30.34,Payment,Grocery,1,19,5,0.217,0,1736020399.527278
txn_00000048,cust_000003,66.88,Transfer,Entertainment,0,18,0,5.872,0,1751909380.15558
txn_00000049,cust_000714,113.25,Payment,Restaurant,0,13,1,0.195,0,1751026649.580294
txn_00000050,cust_000223,37.2,Purchase,Department Store,0,17,0,0.108,1,1751385898.99181
txn_00000051,cust_000599,16.15,Withdrawal,Grocery,0,3,2,0.169,0,1735876283.13369
txn_00000052,cust_000083,38.5,Purchase,Other,0,20,4,0.229,0,1747684618.968115
txn_00000053,cust_000883,49.38,Purchase,Other,1,23,2,0.165,0,1728254070.490892
txn_00000054,cust_000609,41.1,Purchase,Pharmacy,1,15,3,1.823,0,1722089973.520091
txn_00000055,cust_000579,13.68,Transfer,Online,1,22,2,0.028,0,1737326756.175159
txn_00000056,cust_000322,91.84,Payment,Restaurant,0,6,10,1.157,0,1728363880.659836
txn_00000057,cust_000308,28.41,Purchase,Grocery,0,0,1,0.195,0,1735259314.578725
txn_00000058,cust_000577,18.82,Purchase,Travel,0,16,2,0.094,0,1752249578.037701
txn_00000059,cust_000272,26.68,Transfer,Gas Station,0,11,1,0.215,0,1725013830.86122
txn_00000060,cust_000379,41.85,Payment,Travel,0,3,9,0.531,0,1729824042.827551
txn_00000061,cust_000627,60.18,Purchase,Travel,0,5,5,0.549,0,1751863478.450234
txn_00000062,cust_000680,146.72,Withdrawal,ATM,0,22,0,1.572,0,1724103384.382636
txn_00000063,cust_000110,40.23,Withdrawal,ATM,0,2,1,0.394,0,1744249533.004168
txn_00000064,cust_000216,126.81,Withdrawal,ATM,0,1,5,1.432,0,1743467298.391752
txn_00000065,cust_000258,44.99,Purchase,Gas Station,1,13,0,0.304,0,1749387372.040821
